Part Number,Designator,Comment,Description,Value,Material,Quantity

"","JP1","Jumper","Jumper 2x2","","","1"
"","JP2","Jumper","Jumper","","","1"
"","TP1, TP3, TP4, TP6, TP7, TP9, TP10, TP11, TP12, TP13, TP15, TP16","Test Point","Test Point","","","12"
"","TP2, TP5, TP14","Test Point","Test Point","","","3"
"5-1814400-1","CN1, CN2, CN5","SMA","Conector SMA","","","3"
"6-534236-2","CN3","Connector","Conector genérico 12x2","","","1"
"93LC56BT/SN","IC5","93LC56BT","EEPROM SPI 2kb (128x16)","","","1"
"10118193-0001LF","CN4","micro-USB Plug","USB Plug","","","1"
"AC0603FR-072K2L","R11","Resistor SMD","Resistor","2k2","","1"
"AD5061BRJZ-2REEL7","IC1","Serial DAC","DAC SPI","","","1"
"AP7217D-12YG-13","IC9","AP7217D","Linear Voltage Regulator 1V2","","","1"
"AP7365-33YG-13","IC10","AP7215","Linear Voltage Regulator 3v3","","","1"
"BC846BDW1T1G","IC6, IC7","BC846","TBJ NPN Dual","","","2"
"BLM18AG121SN1D","FB1, FB2, FB3, FB4, FB5","Ferrite Bead","Ferrite Bead","","","5"
"C1608X7S1A335K080AC","C27","Capacitor","Capacitor no polarizado","3.3uF","Ceramic","1"
"CC0603KRX7R7BB103","C35","Capacitor","Capacitor no polarizado","10nF","Ceramic","1"
"CL10A225KQ8NNNC","C8, C31, C32, C33, C34","Capacitor","Capacitor no polarizado","2.2uF","Ceramic","5"
"CL10B104KO8NNNC","C1, C3, C4, C5, C6, C7, C9, C10, C11, C12, C13, C16, C17, C18, C19, C20, C22, C23, C25, C26, C30, C36, C42","Capacitor","Capacitor no polarizado","100nF","Ceramic","23"
"CL10B105KP8NNNC","C38, C39, C40, C41","Capacitor","Capacitor no polarizado","1uF","Ceramic","4"
"CL10C120JB8NNNC","C28, C29","Capacitor","Capacitor no polarizado","12pF","Ceramic","2"
"CR0603-FX-1000ELF","R4, R5","Resistor SMD","Resistor","100","","2"
"CR0603-FX-1001ELF","R9, R39, R41","Resistor SMD","Resistor","1k","","3"
"CR0603-FX-1002EAS","R1, R2, R6, R7, R8, R12, R13, R14, R19, R26, R29, R32, R38, R40","Resistor SMD","Resistor","10k","","14"
"CR0603-FX-1200ELF","R16, R17","Resistor SMD","Resistor","120","","2"
"CR0603-FX-1202ELF","R10","Resistor SMD","Resistor","12k","","1"
"CR0603-FX-1300ELF","R18, R20, R24, R25, R27, R28, R30, R31","Resistor SMD","Resistor","130","","8"
"CR0603-FX-1500ELF","R34","Resistor SMD","Resistor","150","","1"
"CR0603-FX-1800ELF","R15","Resistor SMD","Resistor","180","","1"
"CR0603-FX-2612ELF","R21, R22, R23","Resistor SMD","Resistor","26.1k","","3"
"CR0603-JW-331ELF","R33","Resistor SMD","Resistor","330","","1"
"DSC6003JI2A-012.0000T","OSC1","Oscillator","Oscilador de 4 terminales","","","1"
"ECS-120-12-33-AGN-TR","X1","XTAL_4term","Oscilador a Cristal","","","1"
"FT2232HL-TRAY","IC4","FT2232H","USB bridge","","","1"
"ICE40HX4K-TQ144","U1","iCE40HX4K-TQ144","iCE40 HX4K Series FPGA Family, 3520 Logic Cells, 1.2 V Core, 80 K Embedded RAM Bits, 144-pin TQFP, Pb-Free, Tray","","","1"
"LE25U20AMB-AH","IC3","LE25U20AMB","Flash Memmory SPI (256Kx8)","","","1"
"LTST-C190KRKT","D0, D1, D2, D3, D4, D5, D6, D7, D13","Led_small, Led_small, Led_small, Led_small, Led_small, Led_small, Led_small, Led_small, Led","Led_small, Led_small, Led_small, Led_small, Led_small, Led_small, Led_small, Led_small, Led","","","9"
"LTST-C190KSKT","D9, D14","Led","Led","","","2"
"LTST-G563EGBW","D11","RGB_LED","Led RGB","","","1"
"MCP1541T-I/TT","IC8","Vref","Reference Voltage","","","1"
"MCP6271T-E/OT","IC2","OPAMP","Operational Amplifier","","","1"
"NSR0530HT1G","D10","Schottky Diode","Diodo Schottkey","","","1"
"OPA356AIDBVR","IC11","OPAMP","Operational Amplifier","","","1"
"PTS645SM43SMTR92 LFS","SW0, SW1, SW2, SW3, SW4","Pulsador","Pulsador","","","5"
"RB521S30T1G","D8","Schottky Diode","Diodo Schottkey","","","1"
"RC0603FR-07374RL","R36","Resistor SMD","Resistor","374","","1"
"RC0603FR-07649RL","R3","Resistor SMD","Resistor","649","","1"
"RC0603FR-07665RL","R35, R37","Resistor SMD","Resistor","665","","2"
"SMAJ5.0A","D12","TVS Diode","TVS (Supresor de transitorios)","","","1"
"TAJA106K006RNJ","C2, C14, C15, C37","Capacitor Polarizado","Capacitor polarizado","10uF","Tantalum","4"
"TAJA475K010RNJ","C21, C24","Capacitor Polarizado","Capacitor polarizado","4.7uF","Tantalum","2"
